Obs_Id,lagoslakeid,ActivityStartDate,ActivityConductingOrganizationText,OrganizationFormalName,CharacteristicName,source_parameter,ResultMeasureValue,source_value,source_unit,Conversion,DetectionQuantitationLimitMeasure.MeasureValue,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodIdentifier,MethodDescriptionText,ActivityCommentText,wqp_monitoringlocationname
TX-70374,398691,1988-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,600,600,mg/l,1,600,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-546687,398691,1988-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,670,670,mg/l,1,670,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-288872,398691,1988-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,610,610,mg/l,1,610,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-715410,398691,1988-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,610,610,mg/l,1,610,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-451863,398691,1988-08-16,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,620,620,mg/l,1,620,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
CA-168183,483334,1988-08-23,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,830,830,mg/l,1,830,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,SITE NO 4 SALTON SEA CA
CA-46062,483334,1988-08-23,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,970,970,mg/l,1,970,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,SITE NO 3 SALTLON SEA CA
CA-39297,483334,1988-08-23,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,930,930,mg/l,1,930,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,SITE NO 6 SALTON SEA CA
CA-112321,483334,1988-08-24,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,900,900,mg/l,1,900,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,SITE NO 12 SALTON SEA CA
MO-347013,98287,1988-09-07,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,820,820,mg/l,1,820,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",BALANCES],RAFFINATE PIT NO.3
MO-347072,98287,1988-09-07,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2)",Nitrite,7100,7.10,mg/l as N,1000,7100,USGS,CL040,"USGS OF 93-125, p 143",BALANCES],RAFFINATE PIT NO.3
MO-347074,98287,1988-09-07,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),2000000,2000,mg/l as N,1000,2000000,USGS,CL045,"USGS OF 93-125, p 157",BALANCES],RAFFINATE PIT NO.3
TX-288437,398691,1988-10-04,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,630,630,mg/l,1,630,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk nr Truscott, TX"
TX-484855,448476,1988-10-19,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,570,570,mg/l,1,570,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-160473,448476,1988-10-19,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,410,410,mg/l,1,410,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
TX-805919,398691,1988-10-25,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,640,640,mg/l,1,640,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-494124,398691,1988-10-25,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,660,660,mg/l,1,660,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-258829,398691,1988-10-25,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,620,620,mg/l,1,620,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-807223,398691,1988-10-25,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,700,700,mg/l,1,700,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",CATIONS + SO4 RR,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-169671,398691,1988-10-25,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,720,720,mg/l,1,720,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-932964,398691,1988-10-25,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,640,640,mg/l,1,640,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-731987,398691,1988-10-25,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,640,640,mg/l,1,640,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-458127,398691,1988-10-25,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,650,650,mg/l,1,650,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
AR-1000711,289594,1988-11-03,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS Arkansas Water Science Center,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,USGS,PLA11,"USGS OF 93-125, p 101",BALANCES WITHIN 3% WHEN AL ADDED,"NEUTRINO PIT VERTICAL A NR MAGNET COVE, ARK."
MO-348869,98287,1988-12-07,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,540,540,mg/l,1,540,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",CATIONS RR; NO2+NO3=1700,RAFFINATE PIT NO.3
MO-348866,98287,1988-12-07,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),1700000,1700,mg/l as N,1000,1700000,USGS,CL045,"USGS OF 93-125, p 157",CATIONS RR; NO2+NO3=1700,RAFFINATE PIT NO.3
TX-1255669,398691,1988-12-28,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,680,680,mg/l,1,680,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk nr Truscott, TX"
TX-887095,448476,1989-01-11,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,560,560,mg/l,1,560,USGS,AA008,"USGS TWRI 5-A1/1989, p 137","RR:CA=500, MG=27, NA=320, SO4=1694","Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-1319283,448476,1989-01-11,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
TX-1083190,398691,1989-01-30,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,740,740,mg/l,1,740,USGS,PLA11,"USGS OF 93-125, p 101",3 TIMES,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-1274804,398691,1989-01-30,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,700,700,mg/l,1,700,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-1263366,398691,1989-01-30,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,740,740,mg/l,1,740,USGS,PLA11,"USGS OF 93-125, p 101",TIMES,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-1157500,398691,1989-01-30,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,740,740,mg/l,1,740,USGS,PLA11,"USGS OF 93-125, p 101",3 TIMES,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-1030297,398691,1989-01-30,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,720,720,mg/l,1,720,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-1049553,398691,1989-01-30,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,730,730,mg/l,1,730,USGS,PLA11,"USGS OF 93-125, p 101",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-1115495,398691,1989-01-30,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,730,730,mg/l,1,730,USGS,PLA11,"USGS OF 93-125, p 101",3 TIMES,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-1005235,398691,1989-01-30,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,670,670,mg/l,1,670,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
CA-286801,483334,1989-02-16,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,1000,1000,mg/l,1,1000,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,SALTON SEA NR WESTMORLAND CA
MO-349239,98287,1989-03-14,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,490,490,mg/l,1,490,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",BALANCES W/NUTRIENTS ADDED,RAFFINATE PIT NO.3
MO-349231,98287,1989-03-14,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),1400000,1400,mg/l as N,1000,1400000,USGS,CL045,"USGS OF 93-125, p 157",BALANCES W/NUTRIENTS ADDED,RAFFINATE PIT NO.3
FL-4464733,187064,1989-03-21,NA,Orange County Environmental Protection (Florida),"Aluminum, total",Aluminum,3710000,3710,mg/l,1000,3710000,USEPA,200.7(W),NA,NA,Fairview N
TX-1259839,398691,1989-03-21,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,740,740,mg/l,1,740,USGS,PLA11,"USGS OF 93-125, p 101",NA,"Truscott Brine Lk nr Truscott, TX"
MO-260766,67380,1989-04-21,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,540,540,mg/l,1,540,USGS,PLA11,"USGS OF 93-125, p 101",ICP UPDATED 7/6/89,"LAKE N, SOUTH END NEAR MONTROSE, MISSOURI"
TX-651689,448476,1989-04-25,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,560,560,mg/l,1,560,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-508515,448476,1989-04-25,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,410,410,mg/l,1,410,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
TX-162850,398691,1989-04-28,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,810,810,mg/l,1,810,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk nr Truscott, TX"
MO-261283,126449,1989-05-15,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,460,460,mg/l,1,460,USGS,PLA11,"USGS OF 93-125, p 101",NA,"LAKE P IN HOLE, NEAR MONTROSE, MO."
MO-260801,126449,1989-05-16,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,500,500,mg/l,1,500,USGS,PLA11,"USGS OF 93-125, p 101",NA,"LAKE P IN HOLE, NEAR MONTROSE, MO."
MO-260705,126449,1989-05-16,NA,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,550,550,mg/l,1,550,USGS,PLA11,"USGS OF 93-125, p 101",NA,"LAKE P PROFILE NEAR MONTROSE, MISSOURI"
TX-175127,398691,1989-05-22,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,590,590,mg/l,1,590,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk nr Truscott, TX"
TX-541842,398691,1989-05-23,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,610,610,mg/l,1,610,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-359509,398691,1989-05-23,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,700,700,mg/l,1,700,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-590973,398691,1989-05-23,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,520,520,mg/l,1,520,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-861387,398691,1989-05-23,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,790,790,mg/l,1,790,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-127257,398691,1989-05-23,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,760,760,mg/l,1,760,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-683050,398691,1989-05-23,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,620,620,mg/l,1,620,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-416545,398691,1989-05-23,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,800,800,mg/l,1,800,NA,NA,NA,NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-963784,398691,1989-05-23,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,820,820,mg/l,1,820,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
MO-347591,98287,1989-06-08,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,490,490,mg/l,1,490,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,RAFFINATE PIT NO.3
MO-347583,98287,1989-06-08,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite),1500000,1500,mg/l as N,1000,1500000,USGS,CL045,"USGS OF 93-125, p 157",NA,RAFFINATE PIT NO.3
TX-330452,398691,1989-07-20,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,790,790,mg/l,1,790,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",POTASSIUM UPDATE 10-13 DUE TO DILUTIO,"Truscott Brine Lk nr Truscott, TX"
TX-110042,448476,1989-07-26,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,580,580,mg/l,1,580,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-630461,448476,1989-07-26,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,450,450,mg/l,1,450,USGS,PLA11,"USGS OF 93-125, p 101",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
TX-297025,398691,1989-08-08,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,700,700,mg/l,1,700,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-844464,398691,1989-08-08,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,750,750,mg/l,1,750,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site FC nr Truscott, TX"
TX-861462,398691,1989-08-08,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,750,750,mg/l,1,750,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-393818,398691,1989-08-08,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,760,760,mg/l,1,760,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-550034,398691,1989-08-08,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,830,830,mg/l,1,830,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site CC nr Truscott, TX"
TX-332557,398691,1989-08-08,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,770,770,mg/l,1,770,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-970449,398691,1989-08-08,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,790,790,mg/l,1,790,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
TX-298689,398691,1989-08-08,U.S. Geological Survey-Water Resources Discipline,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,820,820,mg/l,1,820,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Truscott Brine Lk Site AC nr Truscott, TX"
MO-260726,96481,1989-09-18,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,480,480,mg/l,1,480,USGS,PLA11,"USGS OF 93-125, p 101",ALL ICP RR;VALUES SAME,"LAKE S NEAR MONTROSE, MISSOURI"
MO-261332,67380,1989-09-26,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,430,430,mg/l,1,430,USGS,PLA11,"USGS OF 93-125, p 101",NA,"LAKE N NEAR FORK, NEAR MONTROSE, MISSOURI"
CA-132384,483334,1989-10-04,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,16000,16000,mg/l,1,16000,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,SALTON SEA NR WESTMORLAND CA
CA-182448,483334,1989-10-11,U.S. Geological Survey-Water Resources Discipline,USGS California Water Science Center,"Calcium, dissolved",Calcium,950,950,mg/l,1,950,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,SALTON SEA NR WESTMORLAND CA
TX-459655,448476,1989-10-24,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,450,450,mg/l,1,450,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
MO-262334,96481,1990-01-08,U.S. Geological Survey-Water Resources Discipline,USGS Missouri Water Science Center,"Calcium, dissolved",Calcium,490,490,mg/l,1,490,USGS,PLA11,"USGS OF 93-125, p 101",NA,"LAKE S NEAR MONTROSE, MISSOURI"
TX-1141196,448476,1990-01-10,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,460,460,mg/l,1,460,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
SD-174575,347732,1990-04-18,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,460,460,mg/l,1,460,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NEW SIO2 VALUE DUE TO QC RR,"OWENS BAY NEAR RAVINIA, SD"
TX-328714,448476,1990-05-03,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,420,420,mg/l,1,420,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",RR ANIONS;BALANCE IMPROVED,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
SD-189128,347732,1990-06-26,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,470,470,mg/l,1,470,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
TX-691363,448476,1990-07-13,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,460,460,mg/l,1,460,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
SD-180056,347732,1990-08-08,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,680,680,mg/l,1,680,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
SD-26628,347732,1990-09-12,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,820,820,mg/l,1,820,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
TX-715660,448476,1990-10-19,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,570,570,mg/l,1,570,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-346067,448476,1990-10-19,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,440,440,mg/l,1,440,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
SD-465286,347732,1990-11-07,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,760,760,mg/l,1,760,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
TX-1310781,448476,1991-01-16,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,580,580,mg/l,1,580,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-1416383,448476,1991-01-16,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,440,440,mg/l,1,440,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
SD-637626,344386,1991-02-11,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,530,530,mg/l,1,530,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",CA & MG UPDATE DUE TO DILUTION ERROR,"LAKE ANDES ABOVE RAVINIA, SD"
SD-563506,344386,1991-02-11,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Oxygen, dissolved",Oxygen,27.3,27.3,mg/l,1,27.3,NA,NA,NA,RR ANIONS DUP'D & BTLS OK,"LAKE ANDES NEAR RAVINIA, SD"
SD-633207,344386,1991-02-11,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Oxygen, dissolved",Oxygen,25.2,25.2,mg/l,1,25.2,NA,NA,NA,CA & MG UPDATE DUE TO DILUTION ERROR,"LAKE ANDES ABOVE LAKE ANDES, SD"
TX-801128,448476,1991-04-22,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,590,590,mg/l,1,590,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",SO4 RR=2100,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-483863,448476,1991-04-22,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,440,440,mg/l,1,440,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
SD-851621,337057,1991-06-19,NA,DENR,Chlorophyll a,"Chlorophyll a, corrected for pheophytin",-2401.59,-2401.590,ppb,1,-2401.59,APHA,10200-H,NA,NA,SWLAZZZ2705
SD-194800,347732,1991-06-25,U.S. Geological Survey-Water Resources Discipline,USGS South Dakota Water Science Center,"Calcium, dissolved",Calcium,600,600,mg/l,1,600,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"OWENS BAY NEAR RAVINIA, SD"
TX-713970,448476,1991-07-15,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,570,570,mg/l,1,570,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 45.00 bl Falcon Dam nr Falcon Heights, TX"
TX-594044,448476,1991-07-15,International Boundary Water Commission,USGS Texas Water Science Center,"Calcium, dissolved",Calcium,450,450,mg/l,1,450,USGS,AA008,"USGS TWRI 5-A1/1989, p 137",NA,"Weir at 51+80 bl Falcon Dam nr Falcon Heights, TX"
AR-296496,6302,1991-08-01,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS Arkansas Water Science Center,"Oxygen, dissolved",Oxygen,39.6,39.6,mg/l,1,39.6,NA,NA,NA,NA,BULL SHOALS LAKE ON HOWARD CK NR LAKEVIEW AR
AR-425007,390649,1991-08-12,"USGS-District Water-Quality Lab, Little Rock, Arkansas",USGS Arkansas Water Science Center,"Oxygen, dissolved",Oxygen,37.6,37.6,mg/l,1,37.6,NA,NA,NA,NA,BLUE MOUNTAIN LK @ ASHLEY CK NR WAVELAND AR
