lagoslakeid,sample_date,sample_id,parameter_id,parameter_name,parameter_value,parameter_detectionlimit_value,censorcode,sample_depth_m,cluster_id,cluster_lat_dd,cluster_lon_dd,source_id,source_sample_type,source_sample_siteid,source_name,source_activityorg_name,source_activityid,source_comments,source_parameter_name,source_parameter_value,source_parameter_unit,source_value_qualifiercode,parameter_conversionfactor,source_detectionlimit_value,source_detectionlimit_unit,parameter_detectionlimit_conversionfactor,source_detectionlimit_condition,source_detectionlimit_type,source_labmethod_usgspcode,source_labmethod_description,source_labmethod_id,source_labmethod_name,source_labmethod_qualifier,source_samplesite_lat_dd,source_samplesite_lon_dd,lagos_epi_assignment
7016,2019-04-29,IL-161262,38,"Atrazine, total",0.1,0.1,LE5,2.1336,7016-AA,38.10563,-89.69574,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RIJ-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19E0034,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.10563,-89.69574,1
7014,2019-05-07,IL-286009,38,"Atrazine, total",0.1,0.1,LE5,1.8288000000000002,7014-AA,37.45212,-88.84353,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAZI-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19E0243,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.45212,-88.84353,1
7015,2019-05-08,IL-285286,38,"Atrazine, total",0.1,0.1,LE5,2.7432000000000003,7015-AA,37.41849,-88.89012,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAW-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19E0347,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.41849,-88.89012,1
6462,2019-05-22,IL-386005,38,"Atrazine, total",2,0.1,NC2,3.3528000000000002,6462-AA,38.76601,-89.69839,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROZA-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19E0827,Public-water-supply intake,Atrazine,2,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.76601,-89.69839,1
7016,2019-06-10,IL-157184,38,"Atrazine, total",1.8,0.1,NC2,1.8288000000000002,7016-AA,38.10563,-89.69574,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RIJ-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19F0304,Public-water-supply intake,Atrazine,1.8,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.10563,-89.69574,1
7015,2019-06-12,IL-284749,38,"Atrazine, total",0.1,0.1,LE5,3.048,7015-AA,37.41849,-88.89012,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAW-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19F0430,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.41849,-88.89012,1
7014,2019-06-17,IL-285473,38,"Atrazine, total",0.1,0.1,LE5,1.8288000000000002,7014-AA,37.45212,-88.84353,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAZI-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19F0531,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.45212,-88.84353,1
6462,2019-06-20,IL-386221,38,"Atrazine, total",2.4,0.1,NC2,3.048,6462-AA,38.76601,-89.69839,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROZA-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19F0792,Public-water-supply intake,Atrazine,2.4,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.76601,-89.69839,1
7016,2019-07-08,IL-157962,38,"Atrazine, total",2.2,0.1,NC2,1.8288000000000002,7016-AA,38.10563,-89.69574,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RIJ-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19G0132,Public-water-supply intake,Atrazine,2.2,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.10563,-89.69574,1
7015,2019-07-11,IL-285287,38,"Atrazine, total",0.1,0.1,LE5,2.4384,7015-AA,37.41849,-88.89012,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAW-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19G0352,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.41849,-88.89012,1
7014,2019-07-11,IL-285575,38,"Atrazine, total",0.1,0.1,LE5,1.8288000000000002,7014-AA,37.45212,-88.84353,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAZI-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19G0354,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.45212,-88.84353,1
6462,2019-07-30,IL-386236,38,"Atrazine, total",1.4,0.1,NC2,3.048,6462-AA,38.76601,-89.69839,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROZA-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19G1122,Public-water-supply intake,Atrazine,1.4,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.76601,-89.69839,1
381133,2019-08-01,OK-168102,39,"Atrazine, dissolved",0.481,NA,NC4,0.6,381133-AC,36.77599,-96.8317,KAWNATON_WQX,INFERRED,KAWNATON_WQX-KN-KL-001,"Kaw Nation, Oklahoma",NA,KAWNATON_WQX-KN02880AL,NA,Atrazine,0.481,ug/l,NA,1,NA,NA,1,NA,NA,NA,NA,USEPA 619,Triazine Pesticides in Wastewater,NA,36.77599,-96.8317,1
381133,2019-08-01,OK-108009,39,"Atrazine, dissolved",0.1,0.1,LE5,0.6,381133-AE,36.75733,-96.8187,KAWNATON_WQX,INFERRED,KAWNATON_WQX-KN-KL-003,"Kaw Nation, Oklahoma",NA,KAWNATON_WQX-KN02882AL,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Practical Quantitation Limit,NA,NA,USEPA 619,Triazine Pesticides in Wastewater,NA,36.75733,-96.8187,1
381133,2019-08-01,OK-175914,39,"Atrazine, dissolved",0.1,0.1,LE5,0.6,381133-AF,36.70369,-96.9172,KAWNATON_WQX,INFERRED,KAWNATON_WQX-KN-KL-005,"Kaw Nation, Oklahoma",NA,KAWNATON_WQX-KN02883AL,NA,Atrazine,NA,NA,NA,1,0.1,ug/l,1,Present Below Quantification Limit,Practical Quantitation Limit,NA,NA,USEPA 619,Triazine Pesticides in Wastewater,NA,36.70369,-96.9172,1
381133,2019-08-05,OK-168685,39,"Atrazine, dissolved",0.333,NA,NC4,0.6,381133-AD,36.78208,-96.9021,KAWNATON_WQX,INFERRED,KAWNATON_WQX-KN-KL-002,"Kaw Nation, Oklahoma",NA,KAWNATON_WQX-KN02881AL,NA,Atrazine,0.333,ug/l,NA,1,NA,NA,1,NA,NA,NA,NA,USEPA 619,Triazine Pesticides in Wastewater,NA,36.78208,-96.9021,1
7016,2019-08-15,IL-159574,38,"Atrazine, total",1.3,0.1,NC2,2.1336,7016-AA,38.10563,-89.69574,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RIJ-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19H0709,Public-water-supply intake,Atrazine,1.3,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.10563,-89.69574,1
7015,2019-08-26,IL-285429,38,"Atrazine, total",0.1,0.1,LE5,2.1336,7015-AA,37.41849,-88.89012,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAW-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19H0992,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.41849,-88.89012,1
7014,2019-09-09,IL-285126,38,"Atrazine, total",0.1,0.1,LE5,1.524,7014-AA,37.45212,-88.84353,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAZI-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19I0259,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.45212,-88.84353,1
6462,2019-09-10,IL-384315,38,"Atrazine, total",0.16,0.1,NC2,3.048,6462-AA,38.76601,-89.69839,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROZA-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19I0355,Public-water-supply intake,Atrazine,0.16,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.76601,-89.69839,1
6462,2019-10-08,IL-386683,38,"Atrazine, total",0.15,0.1,NC2,3.048,6462-AA,38.76601,-89.69839,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROZA-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19J0380,Public-water-supply intake,Atrazine,0.15,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.76601,-89.69839,1
7015,2019-10-23,IL-284901,38,"Atrazine, total",0.1,0.1,LE5,2.4384,7015-AA,37.41849,-88.89012,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAW-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19J0879,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.41849,-88.89012,1
7014,2019-10-24,IL-285555,38,"Atrazine, total",0.1,0.1,LE5,0.9144000000000001,7014-AA,37.45212,-88.84353,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAZI-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19J0939,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.45212,-88.84353,1
7016,2019-10-29,IL-157084,38,"Atrazine, total",0.47,0.1,NC2,2.1336,7016-AA,38.10563,-89.69574,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RIJ-1,illinois epa,Illinois_EPA,IL_EPA_WQX-19J1029,Public-water-supply intake,Atrazine,0.47,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.10563,-89.69574,1
381133,2020-04-29,OK-131898,39,"Atrazine, dissolved",0.105,0.105,LE5,0.6,381133-AC,36.77599,-96.8317,KAWNATON_WQX,INFERRED,KAWNATON_WQX-KN-KL-001,"Kaw Nation, Oklahoma",NA,KAWNATON_WQX-KN03000AL,NA,Atrazine,NA,NA,NA,1,0.105,ug/l,1,Present Below Quantification Limit,Practical Quantitation Limit,NA,NA,USEPA 619,Triazine Pesticides in Wastewater,NA,36.77599,-96.8317,1
381133,2020-04-29,OK-195130,39,"Atrazine, dissolved",1.18,NA,NC4,0.6,381133-AD,36.78208,-96.9021,KAWNATON_WQX,INFERRED,KAWNATON_WQX-KN-KL-002,"Kaw Nation, Oklahoma",NA,KAWNATON_WQX-KN03001AL,NA,Atrazine,1.18,ug/l,NA,1,NA,NA,1,NA,NA,NA,NA,USEPA 619,Triazine Pesticides in Wastewater,NA,36.78208,-96.9021,1
381133,2020-04-29,OK-73246,39,"Atrazine, dissolved",0.135,NA,NC4,0.6,381133-AE,36.75733,-96.8187,KAWNATON_WQX,INFERRED,KAWNATON_WQX-KN-KL-003,"Kaw Nation, Oklahoma",NA,KAWNATON_WQX-KN03002AL,NA,Atrazine,0.135,ug/l,NA,1,NA,NA,1,NA,NA,NA,NA,USEPA 619,Triazine Pesticides in Wastewater,NA,36.75733,-96.8187,1
381133,2020-04-29,OK-136092,39,"Atrazine, dissolved",0.141,NA,NC4,0.6,381133-AF,36.70369,-96.9172,KAWNATON_WQX,INFERRED,KAWNATON_WQX-KN-KL-005,"Kaw Nation, Oklahoma",NA,KAWNATON_WQX-KN03003AL,NA,Atrazine,0.141,ug/l,NA,1,NA,NA,1,NA,NA,NA,NA,USEPA 619,Triazine Pesticides in Wastewater,NA,36.70369,-96.9172,1
6456,2020-07-30,IL-94689,38,"Atrazine, total",0.1,0.1,LE5,2.1336,6456-AB,37.62123,-88.94465,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAL-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20G1028,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.62123,-88.94465,1
7049,2020-08-05,IL-329348,38,"Atrazine, total",0.74,0.1,NC2,1.6764000000000001,7049-AA,38.64118,-88.946,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROR-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20H0279,Public-water-supply intake,Atrazine,0.74,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.64118,-88.946,1
7045,2020-08-12,IL-407189,38,"Atrazine, total",0.84,0.1,NC2,3.6576000000000004,7045-AD,39.0118,-89.12,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROD-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20H0632,Public-water-supply intake,Atrazine,0.84,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,39.0118,-89.12,1
7013,2020-08-13,IL-285755,38,"Atrazine, total",0.1,0.1,LE5,3.5052000000000003,7013-AA,37.41226,-88.76142,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAT-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20H0631,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.41226,-88.76142,1
6457,2020-08-18,IL-386671,38,"Atrazine, total",0.79,0.1,NC2,1.6764000000000001,6457-AD,38.91987,-89.9369,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RJN-2,illinois epa,Illinois_EPA,IL_EPA_WQX-20H0856,Public-water-supply intake,Atrazine,0.79,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.91987,-89.9369,1
6456,2020-08-20,IL-94633,38,"Atrazine, total",0.1,0.1,LE5,1.9812,6456-AB,37.62123,-88.94465,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAL-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20H0920,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.62123,-88.94465,1
7049,2020-08-26,IL-329424,38,"Atrazine, total",0.58,0.1,NC2,1.524,7049-AA,38.64118,-88.946,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROR-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20H1130,Public-water-supply intake,Atrazine,0.58,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.64118,-88.946,1
7045,2020-08-27,IL-407031,38,"Atrazine, total",0.79,0.1,NC2,3.81,7045-AD,39.0118,-89.12,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROD-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20H1190,Public-water-supply intake,Atrazine,0.79,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,39.0118,-89.12,1
7013,2020-09-01,IL-285818,38,"Atrazine, total",0.1,0.1,LE5,3.3528000000000002,7013-AA,37.41226,-88.76142,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAT-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20I0119,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.41226,-88.76142,1
6457,2020-09-02,IL-386354,38,"Atrazine, total",0.66,0.1,NC2,1.524,6457-AD,38.91987,-89.9369,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RJN-2,illinois epa,Illinois_EPA,IL_EPA_WQX-20I0234,Public-water-supply intake,Atrazine,0.66,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.91987,-89.9369,1
6456,2020-10-07,IL-94725,38,"Atrazine, total",0.1,0.1,LE5,1.8288000000000002,6456-AB,37.62123,-88.94465,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAL-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20J0288,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.62123,-88.94465,1
7049,2020-10-13,IL-326520,38,"Atrazine, total",0.47,0.1,NC2,1.524,7049-AA,38.64118,-88.946,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROR-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20J0427,Public-water-supply intake,Atrazine,0.47,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.64118,-88.946,1
7045,2020-10-20,IL-406795,38,"Atrazine, total",0.93,0.1,NC2,3.5052000000000003,7045-AD,39.0118,-89.12,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROD-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20J0631,Public-water-supply intake,Atrazine,0.93,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,39.0118,-89.12,1
7013,2020-10-21,IL-285761,38,"Atrazine, total",0.1,0.1,LE5,3.048,7013-AA,37.41226,-88.76142,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAT-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20J0686,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.41226,-88.76142,1
6456,2020-10-26,IL-94679,38,"Atrazine, total",0.1,0.1,LE5,1.8288000000000002,6456-AB,37.62123,-88.94465,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAL-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20J0804,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.62123,-88.94465,1
6457,2020-10-27,IL-386584,38,"Atrazine, total",0.81,0.1,NC2,0.45720000000000005,6457-AD,38.91987,-89.9369,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RJN-2,illinois epa,Illinois_EPA,IL_EPA_WQX-20J0889,Public-water-supply intake,Atrazine,0.81,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.91987,-89.9369,1
7049,2020-10-28,IL-329428,38,"Atrazine, total",0.42,0.1,NC2,1.6764000000000001,7049-AA,38.64118,-88.946,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROR-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20J0939,Public-water-supply intake,Atrazine,0.42,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.64118,-88.946,1
7045,2020-11-04,IL-408641,38,"Atrazine, total",0.96,0.1,NC2,3.81,7045-AD,39.0118,-89.12,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-ROD-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20K0203,Public-water-supply intake,Atrazine,0.96,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,39.0118,-89.12,1
7013,2020-11-05,IL-288862,38,"Atrazine, total",0.1,0.1,LE5,3.6576000000000004,7013-AA,37.41226,-88.76142,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RAT-1,illinois epa,Illinois_EPA,IL_EPA_WQX-20K0201,Public-water-supply intake,Atrazine,NA,ug/l,NA,1,0.1,ug/l,1,Not Detected,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,37.41226,-88.76142,1
6457,2020-11-17,IL-390349,38,"Atrazine, total",0.65,0.1,NC2,0.45720000000000005,6457-AD,38.91987,-89.9369,IL_EPA_WQX,SPECIFIED,IL_EPA_WQX-RJN-2,illinois epa,Illinois_EPA,IL_EPA_WQX-20K0398,Public-water-supply intake,Atrazine,0.65,ug/l,NA,1,0.1,ug/l,1,NA,Lower Reporting Limit,NA,NA,USEPA 8141,Organophosphorus Compounds by Gas Chromatography: Capillary Column Technique,NA,38.91987,-89.9369,1
299391,1994-06-13,LA-16284,39,"Atrazine, dissolved",0.65,NA,NC4,0.1,299391-AZ,30.066591,-90.382026,USGS-LA,SPECIFIED,USGS-300359090225500,USGS Louisiana Water Science Center,U.S. Geological Survey-Water Resources Discipline,nwisla.01.99400589,NA,Atrazine,0.65,ug/l,NA,1,NA,NA,1,NA,NA,39632,USGS OF 91-519,USGS GCM15,"Pest, herbs, wf, spe, GCMS-SIM",NA,30.0665907,-90.3820263,1
4936,2002-03-18,IA-289050,38,"Atrazine, total",0.73,0.05,NC2,0,4936-AC,41.199939,-91.903947,21IOWA,INFERRED,21IOWA-22920001,Iowa Dept. of  Natural Resources,NA,21IOWA-SAMP01-TMDL-2002-0,NA,Atrazine,0.73,ug/l,NA,1,0.05,ppb,1,NA,NA,NA,NA,21IOWA UHLIMA,NA,NA,41.199939,-91.903947,1
4936,2002-03-18,IA-289391,38,"Atrazine, total",0.72,0.05,NC2,0,4936-AC,41.199939,-91.903947,21IOWA,INFERRED,21IOWA-22920002,Iowa Dept. of  Natural Resources,NA,21IOWA-SAMP01-TMDL-2002-0,NA,Atrazine,0.72,ug/l,NA,1,0.05,ppb,1,NA,NA,NA,NA,21IOWA UHLIMA,NA,NA,41.199939,-91.903947,1
4936,2002-03-18,IA-289385,38,"Atrazine, total",0.76,0.05,NC2,0,4936-AC,41.199939,-91.903947,21IOWA,INFERRED,21IOWA-22920003,Iowa Dept. of  Natural Resources,NA,21IOWA-SAMP01-TMDL-2002-0,NA,Atrazine,0.76,ug/l,NA,1,0.05,ppb,1,NA,NA,NA,NA,21IOWA UHLIMA,NA,NA,41.199939,-91.903947,1
4936,2002-05-16,IA-289107,38,"Atrazine, total",27,0.5,NC2,0,4936-AC,41.199939,-91.903947,21IOWA,INFERRED,21IOWA-22920001,Iowa Dept. of  Natural Resources,NA,21IOWA-SAMP01-TMDL-2002-0,NA,Atrazine,27,ug/l,NA,1,0.5,ppb,1,NA,NA,NA,NA,21IOWA UHLIMA,NA,NA,41.199939,-91.903947,1
4936,2002-05-16,IA-289392,38,"Atrazine, total",28,0.5,NC2,0,4936-AC,41.199939,-91.903947,21IOWA,INFERRED,21IOWA-22920002,Iowa Dept. of  Natural Resources,NA,21IOWA-SAMP01-TMDL-2002-0,NA,Atrazine,28,ug/l,NA,1,0.5,ppb,1,NA,NA,NA,NA,21IOWA UHLIMA,NA,NA,41.199939,-91.903947,1
4936,2002-05-16,IA-289324,38,"Atrazine, total",24,0.5,NC2,0,4936-AC,41.199939,-91.903947,21IOWA,INFERRED,21IOWA-22920003,Iowa Dept. of  Natural Resources,NA,21IOWA-SAMP01-TMDL-2002-0,NA,Atrazine,24,ug/l,NA,1,0.5,ppb,1,NA,NA,NA,NA,21IOWA UHLIMA,NA,NA,41.199939,-91.903947,1
4936,2002-05-16,IA-286545,38,"Atrazine, total",27,0.5,NC2,0,4936-AC,41.199955,-91.90412,21IOWA_WQX,INFERRED,21IOWA_WQX-22920001,Iowa DNR Surface Water Monitoring Data,21IOWA_WQX,21IOWA_WQX-TMDL-2002-12721-SAMP01,NA,Atrazine,27,ug/l,NA,1,0.5,ppb,1,NA,Method Detection Level,NA,NA,21IOWA_WQX UHLIMA,Immunoassay for triazine herbicides,NA,41.199955,-91.90412,1
15362,2002-07-16,NY-2971,39,"Atrazine, dissolved",0.008,0.007,NC2,0,15362-AA,41.073708,-73.765966,USGS-NY,INFERRED,USGS-01301900,USGS New York Water Science Center,U.S. Geological Survey-Water Resources Discipline,nwisny.01.00201622,NA,Atrazine,0.008,ug/l,NA,1,0.007,ug/l,1,NA,Laboratory Reporting Level,39632,USGS OF 95-181,USGS GCM36,"Pest, hi use, SPE, fld, GCMS-SIM",NA,41.0737078,-73.7659656,1
