"","CharacteristicName","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitMeasure.MeasureUnitCode","source_labmethodid","source_labmethodname","USGSPCode","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","source_samplesiteid","ActivityCommentText","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","ResultSampleFractionText","datavalue","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","source_labmethoddescription","ResultLaboratoryCommentText","source_qualifier","DetectionQuantitationLimitMeasure.MeasureValue","ProviderName","ActivityStartDateTime","ActivityEndDateTime","Obs_Id","State","Id_num","wqp_monitoringlocationname","wqp_providername","lagoslakeid","source_parameter","source_value","source_unit","detectionlimit_legacy","detectionlimit_unit_legacy","Conversion","Conversion_dl","Notes","sampledate","source_sampledepth","variableid_lagos","limit_low","limit_high","variableshortname","source_sampleposition","lagos_sampledepth","lagos_sampleposition"
"272","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600209","Sample-Routine","2006-02-23","11:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-362601114204500","A-0600004 1000 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,0.2,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,NA,"Lower Reporting Limit","0.2","NWIS","2006-02-23 19:00:00",NA,"NV-59349","NV","59349","LAKE MEAD OVERTON ARM QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","0.2","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-02-23,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"273","Chloride, dissolved","mg/l","mg/l","USGS IC022","Anions, wf, IC","940","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604003","Sample-Routine","2006-03-08","10:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Dissolved",8.25,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IC022","USGS","Standard Methods (22d ed), 2012, p 4-5 - 4-7",NA,"Laboratory Reporting Level","8.25","NWIS","2006-03-08 15:45:00",NA,"FL-3129132","FL","3129132","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Chloride","8.25","mg/l","0.2","mg/l","1","1","USGS_00940",2006-03-08,NA,8,-10,400000,"cl_mgl","UNKNOWN",NA,"UNKNOWN"
"274","Conductivity","uS/cm",NA,"NA NA",NA,"95","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604003","Sample-Routine","2006-03-08","10:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",61,NA,"Accepted",NA,"Actual",NA,NA,"25 deg C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","NWIS","2006-03-08 15:45:00",NA,"FL-4103436","FL","4103436","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Specific conductance","61","uS/cm @25C",NA,NA,"1","1","USGS 00095",2006-03-08,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"275","Oxygen, dissolved","mg/l",NA,"NA NA",NA,"300","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604003","Sample-Routine","2006-03-08","10:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Dissolved",7.2,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.2","NWIS","2006-03-08 15:45:00",NA,"FL-3483425","FL","3483425","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Oxygen","7.2","mg/l",NA,NA,"1","1","USGS_00300; Dissolved oxygen, water, unfiltered, milligrams per liter",2006-03-08,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"276","pH, field or lab","pH",NA,"NA NA",NA,"400","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604003","Sample-Routine","2006-03-08","10:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",6.7,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.7","NWIS","2006-03-08 15:45:00",NA,"FL-3729465","FL","3729465","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","pH","6.7","std units",NA,NA,"1","1","USGS_00400; pH, water, unfiltered, field, standard units",2006-03-08,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"277","Chloride, dissolved","mg/l","mg/l","USGS IC022","Anions, wf, IC","940","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604004","Sample-Routine","2006-03-22","15:35:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Dissolved",8.62,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IC022","USGS","Standard Methods (22d ed), 2012, p 4-5 - 4-7",NA,"Laboratory Reporting Level","8.62","NWIS","2006-03-22 20:35:00",NA,"FL-3863172","FL","3863172","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Chloride","8.62","mg/l","0.2","mg/l","1","1","USGS_00940",2006-03-22,NA,8,-10,400000,"cl_mgl","UNKNOWN",NA,"UNKNOWN"
"278","Conductivity","uS/cm",NA,"NA NA",NA,"95","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604004","Sample-Routine","2006-03-22","15:35:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",67,NA,"Accepted",NA,"Actual",NA,NA,"25 deg C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","NWIS","2006-03-22 20:35:00",NA,"FL-3597449","FL","3597449","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Specific conductance","67","uS/cm @25C",NA,NA,"1","1","USGS 00095",2006-03-22,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"279","pH, field or lab","pH",NA,"NA NA",NA,"400","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604004","Sample-Routine","2006-03-22","15:35:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",6.8,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8","NWIS","2006-03-22 20:35:00",NA,"FL-4394613","FL","4394613","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","pH","6.8","std units",NA,NA,"1","1","USGS_00400; pH, water, unfiltered, field, standard units",2006-03-22,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"280","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600225","Sample-Routine","2006-03-23","11:10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-362601114204500","A-1080007 1000 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,0.4,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,"holding time exceeded","Lower Reporting Limit","0.4","NWIS","2006-03-23 19:10:00",NA,"NV-65713","NV","65713","LAKE MEAD OVERTON ARM QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","0.4","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-03-23,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"281","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600227","Sample-Routine","2006-04-11","10:15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-360314114450500","A-1080009 1000 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,1.1,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,NA,"Lower Reporting Limit","1.1","NWIS","2006-04-11 17:15:00",NA,"NV-26951","NV","26951","SENTINEL ISLAND QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","1.1","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-04-11,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"282","Chloride, dissolved","mg/l","mg/l","USGS IC022","Anions, wf, IC","940","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604006","Sample-Routine","2006-04-18","12:47:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Dissolved",9.17,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IC022","USGS","Standard Methods (22d ed), 2012, p 4-5 - 4-7",NA,"Laboratory Reporting Level","9.17","NWIS","2006-04-18 17:47:00",NA,"FL-2847276","FL","2847276","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Chloride","9.17","mg/l","0.2","mg/l","1","1","USGS_00940",2006-04-18,NA,8,-10,400000,"cl_mgl","UNKNOWN",NA,"UNKNOWN"
"283","Conductivity","uS/cm",NA,"NA NA",NA,"95","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604006","Sample-Routine","2006-04-18","12:47:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",64,NA,"Accepted",NA,"Actual",NA,NA,"25 deg C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","NWIS","2006-04-18 17:47:00",NA,"FL-4175870","FL","4175870","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Specific conductance","64","uS/cm @25C",NA,NA,"1","1","USGS 00095",2006-04-18,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"284","Oxygen, dissolved","mg/l",NA,"NA NA",NA,"300","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604006","Sample-Routine","2006-04-18","12:47:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Dissolved",7.5,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5","NWIS","2006-04-18 17:47:00",NA,"FL-4205401","FL","4205401","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Oxygen","7.5","mg/l",NA,NA,"1","1","USGS_00300; Dissolved oxygen, water, unfiltered, milligrams per liter",2006-04-18,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"285","pH, field or lab","pH",NA,"NA NA",NA,"400","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604006","Sample-Routine","2006-04-18","12:47:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",6.8,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8","NWIS","2006-04-18 17:47:00",NA,"FL-4559697","FL","4559697","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","pH","6.8","std units",NA,NA,"1","1","USGS_00400; pH, water, unfiltered, field, standard units",2006-04-18,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"286","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600248","Sample-Routine","2006-04-20","11:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-362601114204500","A-1180006 500 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,2.6,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,NA,"Lower Reporting Limit","2.6","NWIS","2006-04-20 18:30:00",NA,"NV-32266","NV","32266","LAKE MEAD OVERTON ARM QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","2.6","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-04-20,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"287","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600247","Sample-Routine","2006-04-25","11:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-360901114321000","A-1180005 1000 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,1.4,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,NA,"Lower Reporting Limit","1.4","NWIS","2006-04-25 18:00:00",NA,"NV-26419","NV","26419","LAKE MEAD VIRGIN BASIN QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","1.4","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-04-25,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"288","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600246","Sample-Routine","2006-04-26","10:10:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-360314114450500","A-1180004 1000 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,3,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,NA,"Lower Reporting Limit","3","NWIS","2006-04-26 17:10:00",NA,"NV-12252","NV","12252","SENTINEL ISLAND QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","3","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-04-26,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"289","Chloride, dissolved","mg/l","mg/l","USGS IC022","Anions, wf, IC","940","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604005","Sample-Routine","2006-05-01","12:20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Dissolved",9.47,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IC022","USGS","Standard Methods (22d ed), 2012, p 4-5 - 4-7",NA,"Laboratory Reporting Level","9.47","NWIS","2006-05-01 17:20:00",NA,"FL-4260593","FL","4260593","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Chloride","9.47","mg/l","0.2","mg/l","1","1","USGS_00940",2006-05-01,NA,8,-10,400000,"cl_mgl","UNKNOWN",NA,"UNKNOWN"
"290","Conductivity","uS/cm",NA,"NA NA",NA,"95","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604005","Sample-Routine","2006-05-01","12:20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",66,NA,"Accepted",NA,"Actual",NA,NA,"25 deg C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","NWIS","2006-05-01 17:20:00",NA,"FL-3758669","FL","3758669","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Specific conductance","66","uS/cm @25C",NA,NA,"1","1","USGS 00095",2006-05-01,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"291","Oxygen, dissolved","mg/l",NA,"NA NA",NA,"300","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604005","Sample-Routine","2006-05-01","12:20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Dissolved",7.5,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5","NWIS","2006-05-01 17:20:00",NA,"FL-3758671","FL","3758671","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Oxygen","7.5","mg/l",NA,NA,"1","1","USGS_00300; Dissolved oxygen, water, unfiltered, milligrams per liter",2006-05-01,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"292","pH, field or lab","pH",NA,"NA NA",NA,"400","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604005","Sample-Routine","2006-05-01","12:20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",6.9,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.9","NWIS","2006-05-01 17:20:00",NA,"FL-3404377","FL","3404377","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","pH","6.9","std units",NA,NA,"1","1","USGS_00400; pH, water, unfiltered, field, standard units",2006-05-01,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"293","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600407","Sample-Routine","2006-05-10","11:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-362601114204500","A-1600031 500 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,1.7,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,"holding time exceeded","Lower Reporting Limit","1.7","NWIS","2006-05-10 18:00:00",NA,"NV-45634","NV","45634","LAKE MEAD OVERTON ARM QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","1.7","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-05-10,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"294","Chloride, dissolved","mg/l","mg/l","USGS IC022","Anions, wf, IC","940","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604007","Sample-Routine","2006-05-15","14:55:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Dissolved",8.19,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IC022","USGS","Standard Methods (22d ed), 2012, p 4-5 - 4-7",NA,"Laboratory Reporting Level","8.19","NWIS","2006-05-15 19:55:00",NA,"FL-4576260","FL","4576260","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Chloride","8.19","mg/l","0.2","mg/l","1","1","USGS_00940",2006-05-15,NA,8,-10,400000,"cl_mgl","UNKNOWN",NA,"UNKNOWN"
"295","Conductivity","uS/cm",NA,"NA NA",NA,"95","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604007","Sample-Routine","2006-05-15","14:55:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",63,NA,"Accepted",NA,"Actual",NA,NA,"25 deg C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","NWIS","2006-05-15 19:55:00",NA,"FL-3808618","FL","3808618","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Specific conductance","63","uS/cm @25C",NA,NA,"1","1","USGS 00095",2006-05-15,NA,13,0,1000000,"spcond_uscm","UNKNOWN",NA,"UNKNOWN"
"296","Oxygen, dissolved","mg/l",NA,"NA NA",NA,"300","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604007","Sample-Routine","2006-05-15","14:55:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Dissolved",6.4,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.4","NWIS","2006-05-15 19:55:00",NA,"FL-4310538","FL","4310538","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","Oxygen","6.4","mg/l",NA,NA,"1","1","USGS_00300; Dissolved oxygen, water, unfiltered, milligrams per liter",2006-05-15,NA,23,-10,25,"do_mgl","UNKNOWN",NA,"UNKNOWN"
"297","pH, field or lab","pH",NA,"NA NA",NA,"400","USGS-FL","USGS Florida Water Science Center","nwisfl.01.00604007","Sample-Routine","2006-05-15","14:55:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-282052080562501",NA,"USGS","USGS","USGS","Unknown",NA,"Total",6.9,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.9","NWIS","2006-05-15 19:55:00",NA,"FL-4576259","FL","4576259","TAYLOR CREEK RESEVOIR(SURFACE) NR NARCOOSSEE,FL","NWIS","187651","pH","6.9","std units",NA,NA,"1","1","USGS_00400; pH, water, unfiltered, field, standard units",2006-05-15,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
"298","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600403","Sample-Routine","2006-05-16","09:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-360314114450500","A-1600035 1000 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,0.7,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,"holding time exceeded","Lower Reporting Limit","0.7","NWIS","2006-05-16 16:45:00",NA,"NV-36543","NV","36543","SENTINEL ISLAND QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","0.7","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-05-16,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"299","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600404","Sample-Routine","2006-05-17","10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-360901114321000","A-1600036 1000 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,0.5,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,"holding time exceeded","Lower Reporting Limit","0.5","NWIS","2006-05-17 17:00:00",NA,"NV-26240","NV","26240","LAKE MEAD VIRGIN BASIN QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","0.5","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-05-17,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
"300","Chlorophyll a","ug/l","ug/l","USGS 00050","Plant pigments, sonication & 445","70953","USGS-NV","USGS Nevada Water Science Center","nwisnv.01.00600406","Sample-Routine","2006-05-24","09:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-362601114204500","A-1600030 500 ml through filter. Filter frozen immediately.","USGS","USGS","USGS","Unknown",NA,NA,1.5,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00050","USGS",NA,NA,"Lower Reporting Limit","1.5","NWIS","2006-05-24 16:50:00",NA,"NV-24694","NV","24694","LAKE MEAD OVERTON ARM QW PLATFORM SURFACE","NWIS","453751","Chlorophyll a","1.5","ug/l","0.1","ug/l","1","1","USGS 70953 EPA 445.0; Plant pigments in algae by EPA Method 445.0 (fluorescence) modified by use of sonication for sample extraction",2006-05-24,NA,9,-1000,200000,"chla_ugl","UNKNOWN",NA,"UNKNOWN"
