OrganizationFormalName,ProjectIdentifier,n,Notes
TDEC Division of Water Resources,TNPR0056,18,
The Seminole Nation of Oklahoma,I-00F36301-0,18,
Utah Department Of Environmental Quality,856,18,
AZDEQ_SW,2079,17,
DENR,SPECPON1,17,
Iowa DNR Surface Water Monitoring Data,LOSTLK,17,
"Kaw Nation, Oklahoma",EPABEACH;WQM07,17,
"Kaw Nation, Oklahoma",EPABEACH;WQM15;WQM16,17,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,4,17,
National Park Service Water Resources Division,PINN0006,17,
North Dakota Department Of Environmental Quality,RLABLKTL,17,
North Dakota Department Of Environmental Quality,RMRLONC,17,
North Dakota Department Of Environmental Quality,RTAHDANZ,17,
North Dakota Department Of Environmental Quality,RTMDLHOS,17,
North Dakota Dept. of Health,RLWQ98,17,
SD Dept of Environmental & Natural Resources,CAMPB96D,17,
State of Oregon Dept. of Environmental Quality,Effluent Monitoring,17,
Tennessee Department of Environment and Conservation,21TNWMS,17,
Utah Department Of Environmental Quality,351;848,17,
Colorado Dept. of Public Health & Environment-WQCD,Special_Studies,16,
MDEQ_WQ_WQX - Montana DEQ WQPB,ARSENIC-2016,16,
North Dakota Department Of Environmental Quality,RNPHEAS,16,
North Dakota Department Of Environmental Quality,RNPSRRR,16,
SD Dept of Environmental & Natural Resources,EUREKAZ1,16,
SD Dept of Environmental & Natural Resources,HERMANZ2,16,
Utah Department Of Environmental Quality,350;357;358;359;402,16,
Utah Department Of Environmental Quality,351;531,16,
Utah Department Of Environmental Quality,358;359,16,
Arizona Department Of Environmental Quality,CLP,15,
Colorado Dept. of Public Health & Environment-WQCD,BIOHAB,15,
Oklahoma Corporation Commission,SN,15,
Utah Department Of Environmental Quality,350;358;359,15,
AZDEQ_SW,9734,14,
AZDEQ_SW,NA,14,
"FL Dept. Environmental Protection, Southwest District",SMP,14,
"FL Dept. of Environmental Protection, Southeast District",SED-638,14,
North Dakota Department Of Environmental Quality,RLRICE,14,
North Dakota Department Of Environmental Quality,RLWQ20,14,
North Dakota Department Of Environmental Quality,RLWQ97,14,
North Dakota Dept. of Health,RKETTLE,14,
North Dakota Dept. of Health,RNPSLLM,14,
Samish Indian Nation,LC_WQ,14,
St.  Johns Water Management District (Florida),OC,14,
DENR,LEWCLAR2,13,
Massachusetts Department of Environmental Protection (MassDEP),2008-02,13,
National Park Service Water Resources Division,ROMO0015,13,
USGS California Water Science Center,National Water Quality Assessment Program (NAWQA),13,
USGS Utah Water Science Center,National Water Quality Assessment Program (NAWQA),13,
Utah Department Of Environmental Quality,350;357;358;359,13,
Utah Department Of Environmental Quality,351;357,13,
DENR,MAD93FLD,12,
DENR,PLATTEZ1,12,
Hopi Tribe of Arizona,WQA 106 Management,12,
"Kaw Nation, Oklahoma",BIO16,12,
Lower Elwha Klallam Tribe,L_Suther,12,
Massachusetts Department of Environmental Protection (MassDEP),2011-02,12,
MDEQ_WQ_WQX - Montana DEQ WQPB,CF-SB-2012,12,
MDEQ_WQ_WQX - Montana DEQ WQPB,MDLFOYLK,12,
National Park Service Water Resources Division,GUIS0007,12,
National Park Service Water Resources Division,LIRI0005,12,
National Park Service Water Resources Division,MORU0001,12,
National Park Service Water Resources Division,ROMO0018,12,
North Dakota Dept. of Health,RLWQ96,12,
Texas Commission on Environmental Quality,979,12,
USGS Maryland Water Science Center,NA,12,
Utah Department Of Environmental Quality,350;357;358;362;552,12,
VIRGINIA DEPARTMENT OF ENVIRONMENTAL QUALITY,000002.SS,12,
DENR,EUREKAZD,11,
Division of Surface water (Ohio),1132,11,
EPA Region 10 Superfund Midnite Mine Site,5341802,11,
"FL Dept. of Environmental Protection, Northeast District",LAKES,11,
North Dakota Department Of Environmental Quality,RLWQDL,11,
North Dakota Dept. of Health,RNPOWER,11,
Utah Department Of Environmental Quality,357;358;359,11,
Applegate Partnership & Watershed Council (Volunteer),ODEQVolMonWQProgram,10,
AZDEQ_SW,2037,10,
AZDEQ_SW,9008,10,
"FL Dept. of Environmental Protection, South District",TMDL,10,
Massachusetts Department of Environmental Protection (MassDEP),2007-18,10,
Massachusetts Department of Environmental Protection (MassDEP),2009-07,10,
MTWTRSHD_WQX - Montana Watershed Data,SWANLK04,10,
National Park Service Water Resources Division,GOGA0012,10,
North Dakota Dept. of Health,RLWQ00,10,
North Dakota Dept. of Health,RLWQ99,10,
Northern Ute Indian Tribe (UT),UIT_106,10,
Polk County Water Resources (Florida),L2,10,
Quinault Indian Nation,QINNLA17,10,
SD Dept of Environmental & Natural Resources,MADBRAN1,10,
Utah Department Of Environmental Quality,350;354;357;358,10,
Utah Department Of Environmental Quality,357;358;362,10,
AZDEQ_SW,2132,9,
National Park Service Water Resources Division,CARE0003,9,
National Park Service Water Resources Division,LAVO0004,9,
National Park Service Water Resources Division,PAIS0005,9,
Polk County Water Resources (Florida),L,9,
USGS Oregon Water Science Center,National Water Quality Assessment Program (NAWQA),9,
Utah Department Of Environmental Quality,350;357;358,9,
AZDEQ_SW,2104,8,
AZDEQ_SW,2127,8,
AZDEQ_SW,2152,8,
DENR,HANSONZD,8,
DENR,MOCCASN1,8,
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,SMP,8,
Kaw Nation of Oklahoma,KNWQM,8,
"Kaw Nation, Oklahoma",WQM03,8,
Massachusetts Department of Environmental Protection (MassDEP),2009-03,8,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,124,8,
National Park Service Water Resources Division,CRLA0013,8,
National Park Service Water Resources Division,LAVO0012,8,
National Park Service Water Resources Division,MEVE0002,8,
National Park Service Water Resources Division,TUZI0003,8,
South Carolina Department of Health and Environmental Control,EPABEACH;SWS-2002,8,
Utah Department Of Environmental Quality,Unknown,8,
"FL Dept. Environmental Protection, Southwest District",TMDL,7,
"Kaw Nation, Oklahoma",WQM02,7,
Massachusetts Department of Environmental Protection (MassDEP),2007-01,7,
Massachusetts Department of Environmental Protection (MassDEP),2008-06,7,
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,AMBLAKE16,7,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,150,7,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,35,7,
National Park Service Water Resources Division,WHIS0010,7,
North Dakota Department Of Environmental Quality,RLWQLS,7,
North Dakota Department Of Environmental Quality,RLWQVM,7,
Oklahoma Corporation Commission,Case,7,
Utah Department Of Environmental Quality,350;358;402,7,
AZDEQ_SW,9405,6,
AZDEQ_SW,9431,6,
Bureau of Reclamation Western Colorado Area Office,FLORIDA,6,
"FL Dept. of Environmental Protection, Northeast District",SPECIAL,6,
MDEQ_WQ_WQX - Montana DEQ WQPB,CLARKCANYON-HAB,6,
MDEQ_WQ_WQX - Montana DEQ WQPB,MUSSEL-CHAR,6,
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,AMBLAKE14,6,
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,AMBLAKE17,6,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,118,6,
National Park Service Water Resources Division,SFAN_WQ,6,
North Dakota Department Of Environmental Quality,RLWQ95,6,
North Dakota Department Of Environmental Quality,RNAMTJCK,6,
North Dakota Department Of Environmental Quality,RNPSBH,6,
North Dakota Dept. of Health,RLWQBRL,6,
North Dakota Dept. of Health,RNPSHC,6,
North Dakota Dept. of Health,RPI,6,
North Dakota Dept. of Health,RTMDLHOS,6,
SD Dept of Environmental & Natural Resources,REDFIEL1,6,
Siuslaw Watershed Council,ODEQVolMonWQProgram,6,
Texas Commission on Environmental Quality,489,6,
Texas Commission on Environmental Quality,750,6,
Texas Commission on Environmental Quality,946,6,
"Univ. of Missouri, Columbia",12,6,
USGS Wisconsin Water Science Center,NA,6,
"FL Dept. of Environmental Protection, Northwest District",GFPRTNR,5,
Massachusetts Department of Environmental Protection (MassDEP),2014-02,5,
Massachusetts Department of Environmental Protection (MassDEP),2014-06,5,
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,AMBLAKE15,5,
National Park Service Water Resources Division,GLCA0001,5,
National Park Service Water Resources Division,WHIS0006,5,
North Dakota Dept. of Health,RNPSRRR,5,
North Dakota Dept. of Health,RTMDLIC,5,
Polk County Water Resources (Florida),DP,5,
SD Dept of Environmental & Natural Resources,MITCH981,5,
State of Oregon Dept. of Environmental Quality,Water Quality Response,5,
Utah Department Of Environmental Quality,840,5,
AZDEQ_SW,2022,4,
California Department of Water Resources,DWRNDWQ,4,
Confederated Tribes and Bands of the Yakama Nation,YAKAMA_NATION_WQD,4,
FDEP Watershed Assessment Section (WAS),SMP,4,
"Kaw Nation, Oklahoma",WQM13,4,
National Park Service Water Resources Division,FLFO0003,4,
National Park Service Water Resources Division,GRSA0002,4,
National Park Service Water Resources Division,LIRI0002,4,
Nisqually Indian Tribe,NREP,4,
North Dakota Department Of Environmental Quality,RLWQ00,4,
North Dakota Department Of Environmental Quality,RNCROWN,4,
North Dakota Dept. of Health,RARMDAL,4,
North Dakota Dept. of Health,RNPHEAS,4,
North Dakota Dept. of Health,RTMDLDD,4,
Oklahoma Corporation Commission,CASE,4,
SD Dept of Environmental & Natural Resources,PLATTEZ1,4,
State of Oregon Dept. of Environmental Quality,EMAP/REMAP/CEMAP,4,
Utah Department Of Environmental Quality,357;848,4,
Utah Department Of Environmental Quality,363,4,
Utah Department Of Environmental Quality,866;EPABEACH,4,
DENR,POINSET2,3,
DENR,RICHKILL,3,
Maryland Dept. of the Environment In House Water Data,CE2014_17,3,
MDEQ_WQ_WQX - Montana DEQ WQPB,ARSENIC-2015,3,
MDEQ_WQ_WQX - Montana DEQ WQPB,FLATRES,3,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,113,3,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,114,3,
National Park Service Water Resources Division,COLO0003,3,
NCDENR-DWQ,NCLEGACY,3,
North Dakota Department Of Environmental Quality,RNIHDANZ,3,
North Dakota Department Of Environmental Quality,RNPSLLM,3,
North Dakota Department Of Environmental Quality,RTMDLBLK,3,
Polk County Water Resources (Florida),BQ,3,
R8MONTWQ - EPA Region 8 Organization,LAKE_HELENA_TMDL,3,
Texas Commission on Environmental Quality,981,3,
Utah Department Of Environmental Quality,362,3,
Utah Department Of Environmental Quality,364,3,
"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians",CTCL1,2,
EPA Region 10 Superfund Midnite Mine Site,5341801,2,
"Fl  Dept. of Environmental Protection, Central District",CENLK001,2,
"FL Dept. of Environmental Protection, Northeast District",OKLAWHA,2,
Maine Department of Environmental Protection,65320,2,
Maine Department of Environmental Protection,65325,2,
Massachusetts Department of Environmental Protection (MassDEP),2012-02,2,
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,AMBLAKE19,2,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,3,2,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,64,2,
National Park Service Water Resources Division,YOSE0002,2,
North Dakota Department Of Environmental Quality,RNABRUSH,2,
North Dakota Department Of Environmental Quality,RNPSARM,2,
North Dakota Department Of Environmental Quality,RNRIP,2,
North Dakota Department Of Environmental Quality,RSTEELE,2,
North Dakota Dept. of Health,RAWQM,2,
North Dakota Dept. of Health,RNCBR,2,
North Dakota Dept. of Health,RNCROWN,2,
North Dakota Dept. of Health,RNPSBH,2,
North Dakota Dept. of Health,RNPWRAS,2,
North Dakota Dept. of Health,RTMDLBLK,2,
Orange County Environmental (Florida),WQ,2,
Santee Cooper - South Carolina Public Service Authority,ABS AMB,2,
SD Dept of Environmental & Natural Resources,PUNISHE1,2,
Texas Commission on Environmental Quality,788,2,
EPA Region 10 Superfund Bunker Hill Mining and Metallurgical Complex,534272,1,
"FL Dept. of Environmental Protection, Southeast District",SED-628,1,
Hopi Tribe of Arizona,106_WQ,1,
Massachusetts Department of Environmental Protection (MassDEP),2010-03,1,
Massachusetts Department of Environmental Protection (MassDEP),2011-05,1,
MDEQ_WQ_WQX - Montana DEQ WQPB,MADISON-TPA-2012,1,
MDEQ_WQ_WQX - Montana DEQ WQPB,MADISON-TPA-2013,1,
MDEQ_WQ_WQX - Montana DEQ WQPB,SWM,1,
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,AMBLAKE18,1,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,168,1,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,37,1,
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,96,1,
MTVOLWQM_WQX - Montana Volunteer Water Quality Monitoring (Volunteer),LB-LAKE,1,
MTVOLWQM_WQX - Montana Volunteer Water Quality Monitoring (Volunteer),STATE-HAB-RESPONSE,1,
National Park Service Water Resources Division,EPABEACH;GLCA0001,1,
National Park Service Water Resources Division,EPABEACH;ROMO0006,1,
National Park Service Water Resources Division,WHIS0014,1,
North Dakota Department Of Environmental Quality,RLWQ99,1,
North Dakota Department Of Environmental Quality,RNAHOMME,1,
North Dakota Department Of Environmental Quality,RNISCNG,1,
North Dakota Department Of Environmental Quality,RTMDLMcG,1,
North Dakota Dept. of Health,RNLB,1,
North Dakota Dept. of Health,RNPSARM,1,
North Dakota Dept. of Health,RNRIP,1,
North Dakota Dept. of Health,RTMDLMCD,1,
Southwest Florida Water Management District,P106,1,
Tennessee Department of Environment and Conservation,21TNTMDL,1,
Texas Commission on Environmental Quality,508,1,
Texas Commission on Environmental Quality,774,1,
Utah Department Of Environmental Quality,358;402,1,
