CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes,KEW_Conversion,KEW_Conversion_dl,KEW_notes,KEW_method forms of P,KEW_methods_URL
Phosphorus,mg/l as P,mg/l as P,NA NA,,666,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,,NA NA,,665,-1.00E+06,-1.00E+06,unclear,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,NA NA,,666,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l PO4,,NA NA,,71886,-1.00E+06,-1.00E+06,,326.14,326.14,USGS 71886,"Phosphorus, water, unfiltered, milligrams per liter as PO4; calculated",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=71886&fmt=html
Phosphorus,ug/l,,NA NA,,,-1.00E+06,-1.00E+06,discard,-1.00E+06,-1.00E+06,methods_fail,,
Phosphate-phosphorus,mg/l,,OREGONDEQ Not Available,Not Available,,-1.00E+06,-1.00E+06,discard,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,R10BUNKER I4610,I4610,,1000,1000,,1000,1000,USGS I-4610-91,,https://www.nemi.gov/methods/method_summary/8893/
Phosphorus,mg/l,mg/l,R10BUNKER USGS_UNKN,USGS_UNKN,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,R10BUNKER USGS_UNKN,USGS_UNKN,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphate-phosphorus,mg/l,mg/l,SDDENR_WQX EPA 365.2,UNKOWN,,-1.00E+06,-1.00E+06,methods_fail,326.14,326.14,EPA 365.2,,https://www.nemi.gov/methods/method_summary/5254/
Phosphorus,mg/l,,TCEQMAIN N/A Calculation,N/A Calculation,,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_unknown,,
Phosphorus,mg/l,,USACOEND 6010A,ICP Metals in Water,,-1.00E+06,-1.00E+06,,1000,1000,EPA 6010 A,,http://legismex.mty.itesm.mx/secc_inter/SW-846/6010a.pdf
Phosphate-phosphorus,mg/l,,USDOI/USGS I-4610-91,"Phosphorus in Water by Kjeldahl Digestion and Colorimetric Finish, Unfiltered",,-1.00E+06,-1.00E+06,,326.14,326.14,USGS I-4610-91,,https://www.nemi.gov/methods/method_summary/8893/
Phosphorus,mg/l,,USDOI/USGS I-4610-91,"Phosphorus in Water by Kjeldahl Digestion and Colorimetric Finish, Unfiltered",,-1.00E+06,-1.00E+06,,1000,1000,USGS I-4610-91,,https://www.nemi.gov/methods/method_summary/8893/
Phosphorus,mg/l,,USEPA 200.7,Metals in Water by ICP-AES,,1.00E+03,1.00E+03,EPA 200.7; includes P,1000,1000,EPA 200.7,,https://www.epa.gov/sites/default/files/2015-06/documents/epa-200.7.pdf
Phosphorus,mg/l,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,,-1.00E+06,-1.00E+06,methods_fail,1000,1000,EPA 200.8,,https://www.epa.gov/sites/default/files/2015-06/documents/epa-200.8.pdf
Phosphorus,ug/l,,USEPA 200.8,Metals in Waters by ICP/MS,,1,1,,1,1,EPA 200.8,,https://www.epa.gov/sites/default/files/2015-06/documents/epa-200.8.pdf
Phosphorus,mg/l,,USEPA 300(A),,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail,ortho-P,https://www.epa.gov/sites/default/files/2015-08/documents/method_300-0_rev_2-1_1993.pdf
Phosphate-phosphorus,mg/l,mg/l,USEPA 350.1,Ammonia Nitrogen by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail,,
Phosphate-phosphorus,mg/l,mg/l,USEPA 351.2,Total Kjeldahl Nitrogen by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail,,
Phosphate-phosphorus,mg/l,mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail; NO3,,
Phosphorus,mg/l,mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail; NO3,,
Phosphorus,mg/l,,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail; NO3,,
Phosphorus,mg/l,,USEPA 365_M,365 M ~ Phosphorus in Water by Colorimetry,,1000,1000,,1000,1000,EPA 365,,
Phosphate-phosphorus,mg/g,,USEPA 365.1,Phosphorus by Colorimetry,,-1.00E+06,-1.00E+06,units_fail,-1.00E+06,-1.00E+06,Units_fail,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphate-phosphorus,mg/l,mg/l,USEPA 365.1,Phosphorus by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail; phosphate,326.14,326.14,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphate-phosphorus,mg/l,,USEPA 365.1,Phosphorus by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail; phosphate,326.14,326.14,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphate-phosphorus,ug/l,ug/l,USEPA 365.1,Phosphorus by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail; phosphate,0.32614,0.32614,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,mg/l,mg/l,USEPA 365.1,Phosphorus by Colorimetry,,-1.00E+06,-1.00E+06,,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,mg/l,mg/l,USEPA 365.1,,,-1.00E+06,-1.00E+06,,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,mg/l,,USEPA 365.1,Phosphorus by Colorimetry,,-1.00E+06,-1.00E+06,,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus,ppm,,USEPA 365.1,Phosphorus by Colorimetry,,-1.00E+06,-1.00E+06,,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphorus as P,mg/l,,USEPA 365.1,,,-1.00E+06,-1.00E+06,methods_fail; form not known,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
"Total Phosphorus, mixed forms",mg/l,mg/l,USEPA 365.1,Phosphorus by Colorimetry,,1.00E+03,1.00E+03,,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
"Total Phosphorus, mixed forms",mg/l,,USEPA 365.1,Phosphorus by Colorimetry,,1.00E+03,1.00E+03,,1000,1000,EPA 365.1,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-1_1993.pdf
Phosphate-phosphorus,mg/l,mg/l,USEPA 365.2,Phosphorus by Single Reagent Colorimetry,,-1.00E+06,-1.00E+06,methods_fail,326.14,326.14,EPA 365.2,,https://www.nemi.gov/methods/method_summary/5254/
Phosphate-phosphorus,mg/l,,USEPA 365.2,Phosphorus by Single Reagent Colorimetry,,1000,1000,,326.14,326.14,EPA 365.2,,https://www.nemi.gov/methods/method_summary/5254/
Phosphorus,mg/l,mg/l,USEPA 365.2,Phosphorus by Single Reagent Colorimetry,,1000,1000,365.2 reported as P is total,1000,1000,EPA 365.2,,https://www.nemi.gov/methods/method_summary/5254/
Phosphorus,mg/l,mg/l,USEPA 365.2,,,1000,1000,,1000,1000,EPA 365.2,,https://www.nemi.gov/methods/method_summary/5254/
Phosphorus,mg/l,,USEPA 365.2,Phosphorus by Single Reagent Colorimetry,,1000,1000,,1000,1000,EPA 365.2,,https://www.nemi.gov/methods/method_summary/5254/
Phosphate-phosphorus,mg/l,mg/l,USEPA 365.3,Phosphorus by Two Reagent Colorimetry,,-1.00E+06,-1.00E+06,methods_fail,326.14,326.14,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphate-phosphorus,mg/l,,USEPA 365.3,Phosphorus by Two Reagent Colorimetry,,1000,1000,,326.14,326.14,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,mg/l,USEPA 365.3,Phosphorus by Two Reagent Colorimetry,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,mg/l,USEPA 365.3,,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,,USEPA 365.3,Phosphorus by Two Reagent Colorimetry,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphorus,mg/l,,USEPA 365.3,,,1000,1000,,1000,1000,EPA 365.3,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-3_1978.pdf
Phosphate-phosphorus,mg/l,mg/l,USEPA 365.4,Total Phosphorus After Block Digestion,,1000,1000,,326.14,326.14,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphate-phosphorus,mg/l,,USEPA 365.4,Total Phosphorus After Block Digestion,,1000,1000,,326.14,326.14,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphate-phosphorus,ug/l,ug/l,USEPA 365.4,Total Phosphorus After Block Digestion,,1,1,,0.32614,0.32614,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,mg/l,mg/l,USEPA 365.4,Total Phosphorus After Block Digestion,,1000,1000,,1000,1000,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,mg/l,mg/l,USEPA 365.4,,,1.00E+03,1.00E+03,EPA 365.4,1000,1000,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,mg/l,,USEPA 365.4,Total Phosphorus After Block Digestion,,1000,1000,365.2 reported as P is total,1000,1000,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,mg/l,,USEPA 365.4,,,1000,1000,,1000,1000,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,ppm,ppm,USEPA 365.4,Total Phosphorus After Block Digestion,,1000,1000,,1000,1000,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,ppm,ppm,USEPA 365.4,,,1000,1000,,1000,1000,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,ug/l,ug/l,USEPA 365.4,Total Phosphorus After Block Digestion,,1,1,,1,1,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphorus,ug/l,,USEPA 365.4,Total Phosphorus After Block Digestion,,1,1,,1,1,EPA 365.4,,https://www.epa.gov/sites/default/files/2015-08/documents/method_365-4_1974.pdf
Phosphate-phosphorus,mg/l,,USEPA 365.5,Orthophosphate in Water by Colorimetry,,-1.00E+06,-1.00E+06,methods_fail,-1.00E+06,-1.00E+06,methods_fail,ortho-P,https://www.nemi.gov/methods/method_summary/7231/
Phosphorus,mg/l,,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES; P not included,,1000,1000,Trace elements in unfiltered water by ICP-AES (EPA method 6010B; DODEC program),1000,1000,EPA 6010 B,,https://www.epa.gov/sites/default/files/documents/6010b.pdf
Phosphorus,mg/l,,USEPA 6020,Inductively Coupled Plasma - Mass Spec.,,1000,1000,,1000,1000,EPA 6020; P not included but could be done,,https://www.epa.gov/sites/default/files/2015-12/documents/6020b.pdf
Phosphorus,mg/l as P,,USGS 00118,"Phosphorus, LL, wu, EPA method",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS 118,"Phosphorus, LL, wu, EPA method",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS 3,,665,-1.00E+06,-1.00E+06,unclear,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS AKP01,"Nutrients, wu, WCA,persulfate,CF",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS AKP01,"Nutrients, wu, WCA,persulfate,CF",665,-1.00E+06,-1.00E+06,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL001,"ASF, colorimetric",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS CL001,"ASF, colorimetric",665,-1.00E+06,-1.00E+06,CLO1 uknown,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL019,"P, wf, FCA, persulfate CF color",666,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,,USGS CL019,"P, wf, FCA, persulfate CF color",666,1000,1000,"Phosphorus, filtered water, acidified, acid-persulfate digestion, continuous flow (CF) colorimetry",-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,mg/l as P,USGS CL020,"P, wf, FCC, persulfate CF color",666,1000,1000,"Phosphorus, filtered water, acid-persulfate digestion, continuous flow (CF) colorimetry",-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,,USGS CL020,"P, wf, FCC, persulfate CF color",666,1000,1000,,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,mg/l as P,USGS CL021,"P, wu, WCA, persulfate CF color",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS CL021,"P, wu, WCA, persulfate CF color",665,1000,1000,CL021 is total,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL023,"Phosphorus,wu,persulfate colorim",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS CL023,"Phosphorus,wu,persulfate colorim",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL024,"Phosphorus, total, colorimetric",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL052,"Phosphorus, wf, auto phosphomoly",666,1000,1000,"Phosphorus, dissolved, colorimetric, phosphomolybdate, automated",-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,,USGS CL052,"Phosphorus, wf, auto phosphomoly",666,1000,1000,,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,,USGS CL059,"Phosphorus, LIS, ASF phosphomol",666,-1.00E+06,-1.00E+06,,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,mg/l as P,USGS CL060,"Phosphorus, LIS, ASF phosphomol",666,1000,1000,Phosphorus in low ionic-strength (LIS) water by automated segmented flow (ASF) phosphomolybdate colorimetry,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,,USGS CL060,"Phosphorus, LIS, ASF phosphomol",666,1000,1000,,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,,USGS CL061,"Phosphorus, wf,microkjeldahl ASF",666,1000,1000,"Total phosphorus in filtered water by microkjeldahl digestion, and automated segmented flow (ASF) dialysis and colorimetry",-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,mg/l as P,USGS CL063,"Nutrients, wf, FCC,persulfate,CF",666,1000,1000,,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,,USGS CL063,"Nutrients, wf, FCC,persulfate,CF",666,-1.00E+06,-1.00E+06,"Nutrients, filtered water, alkaline-persulfate digestion, continuous flow (CF) colorimetry",-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,mg/l as P,USGS CL084,"Phosphorus, wu, ASF phosphomolyb",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS CL084,"Phosphorus, wu, ASF phosphomolyb",665,1000,1000,Phosphorus in unfiltered water by ASF phosphomolybdate formation and colorimetry,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL090,"Phosphorus, LIS wu, ASF molybate",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS CL090,"Phosphorus, LIS wu, ASF molybate",665,1000,1000,CL090 is total,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL104,"Ortho-PO4, wu,2-reagent ascorbic",665,1000,1000,,-1.00E+06,-1.00E+06,methods_fail,TP; notes Ortho-P,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL106,"Phosphorus, LL, wu,auto ascorbic",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS CL106,"Phosphorus, LL, wu,auto ascorbic",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL146,"Phosphorus, LL,wu,persulfate(CO)",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL153,"Nutrients, brines, colorimetry",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,mg/l as P,USGS CL153,"Nutrients, brines, colorimetry",666,1000,1000,,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l PO4,,USGS G0082,"Phosphorus, wu, calculated",71886,-1.00E+06,-1.00E+06,,326.14,326.14,USGS 71886,"Phosphorus, water, unfiltered, milligrams per liter as PO4; calculated",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=71886&fmt=html
Phosphorus,mg/l as P,,USGS KJ004,"P, wf, FCA, Kjeldahl, CF",666,1000,1000,"Phosphorus, filtered water, acidified (FCA), Kjeldahl digestion, continuous flow (CF) colorimetry",-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,mg/l as P,USGS KJ005,"P, wf, FCC, Kjeldahl, CF",666,1000,1000,"Phosphorus, filtered water, Kjeldahl digestion, continuous flow (CF) colorimetry",-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,,USGS KJ005,"P, wf, FCC, Kjeldahl, CF",666,1000,1000,"Phosphorus, filtered water, Kjeldahl digestion, continuous flow (CF) colorimetry",-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,mg/l as P,USGS KJ009,"Phosphorus, wu, microKJ ASF, H+",665,1000,1000,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS KJ009,"Phosphorus, wu, microKJ ASF, H+",665,1000,1000,"Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04)",1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS KJ010,"Phosphorus, wu, microKJ ASF, Hg",665,1000,1000,total phosphorus,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS KJ011,"Phosphorus, wu, microKJ ASF,disc",665,1000,1000,"Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with sulfuric acid; this method code was discontinued because it duplicated KJ009 with preservation change)",1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l as P,,USGS O,,665,-1.00E+06,-1.00E+06,,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphorus,mg/l PO4,,USGS O,,71886,-1.00E+06,-1.00E+06,,326.14,326.14,USGS 71886,"Phosphorus, water, unfiltered, milligrams per liter as PO4; calculated",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=71886&fmt=html
Phosphorus,mg/l as P,mg/l as P,USGS PSF09,"P, brine,f, acid-persulf CFcolor",666,-1.00E+06,-1.00E+06,unclear,-1.00E+06,-1.00E+06,methods_fail; filtered,"Phosphorus, water, filtered, milligrams per liter as phosphorus",https://help.waterdata.usgs.gov/code/parameter_cd_nm_query?parm_nm_cd=00666&fmt=html
Phosphorus,mg/l as P,mg/l as P,USGS PSF10,"P, brine,u, acid-persulf CFcolor",665,-1.00E+06,-1.00E+06,unclear,1000,1000,USGS 00665,,https://help.waterdata.usgs.gov/method_cd
Phosphate-phosphorus,mg/l,,UTAHDWQ_WQX GENERIC METHOD2,Used for half of methods where historical methodology may not be available.,,-1.00E+06,-1.00E+06,,326.14,326.14,methods_WQX,,
